Origin,DayofMonth,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,UnknownDelay
ABE,1,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,2,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,3,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,4,107.0,238.0,0.0,0.0,0.0,35.0
ABE,5,125.0,0.0,2.0,0.0,218.0,20.0
ABE,6,10.0,0.0,35.0,0.0,23.0,0.0
ABE,7,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,8,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,9,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,10,0.0,0.0,0.0,0.0,0.0,9.0
ABE,11,32.0,0.0,3.0,0.0,0.0,11.0
ABE,12,0.0,0.0,0.0,0.0,0.0,3.0
ABE,13,0.0,0.0,0.0,0.0,0.0,32.0
ABE,14,0.0,0.0,0.0,0.0,101.0,35.0
ABE,15,0.0,0.0,0.0,0.0,0.0,11.0
ABE,16,0.0,0.0,0.0,0.0,23.0,21.0
ABE,17,0.0,0.0,0.0,0.0,0.0,1.0
ABE,18,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,19,234.0,0.0,0.0,0.0,26.0,5.0
ABE,20,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,21,0.0,0.0,0.0,0.0,0.0,5.0
ABE,22,0.0,0.0,0.0,0.0,0.0,4.0
ABE,23,0.0,0.0,0.0,0.0,0.0,5.0
ABE,24,1823.0,0.0,18.0,0.0,25.0,34.0
ABE,25,385.0,0.0,0.0,0.0,0.0,68.0
ABE,26,0.0,0.0,0.0,0.0,56.0,14.0
ABE,27,0.0,0.0,0.0,0.0,0.0,3.0
ABE,28,0.0,0.0,0.0,0.0,0.0,19.0
ABE,29,0.0,0.0,0.0,0.0,0.0,25.0
ABE,30,0.0,0.0,0.0,0.0,0.0,-0.0
ABQ,1,1243.0,0.0,25.0,0.0,154.0,102.0
ABQ,2,30.0,0.0,0.0,0.0,171.0,58.0
ABQ,3,95.0,0.0,0.0,0.0,393.0,44.0
ABQ,4,36.0,0.0,0.0,0.0,20.0,120.0
ABQ,5,344.0,0.0,34.0,0.0,117.0,61.0
ABQ,6,67.0,0.0,0.0,0.0,202.0,134.0
ABQ,7,59.0,0.0,6.0,0.0,191.0,160.0
ABQ,8,190.0,117.0,217.0,0.0,1137.0,43.0
ABQ,9,0.0,0.0,23.0,0.0,0.0,15.0
ABQ,10,6.0,0.0,30.0,0.0,57.0,44.0
ABQ,11,2.0,10.0,13.0,0.0,78.0,80.0
ABQ,12,211.0,0.0,15.0,0.0,1.0,130.0
ABQ,13,62.0,0.0,7.0,0.0,130.0,65.0
ABQ,14,198.0,0.0,112.0,0.0,817.0,14.0
ABQ,15,41.0,0.0,1.0,0.0,159.0,162.0
ABQ,16,0.0,0.0,0.0,0.0,47.0,75.0
ABQ,17,208.0,13.0,39.0,0.0,189.0,88.0
ABQ,18,466.0,0.0,31.0,0.0,103.0,188.0
ABQ,19,571.0,0.0,42.0,0.0,50.0,0.0
ABQ,20,0.0,0.0,128.0,0.0,95.0,63.0
ABQ,21,919.0,134.0,80.0,0.0,283.0,0.0
ABQ,22,54.0,0.0,12.0,0.0,107.0,125.0
ABQ,23,0.0,0.0,0.0,0.0,0.0,47.0
ABQ,24,90.0,0.0,77.0,0.0,237.0,85.0
ABQ,25,4.0,0.0,32.0,0.0,58.0,74.0
ABQ,26,63.0,0.0,0.0,0.0,43.0,103.0
ABQ,27,46.0,0.0,6.0,0.0,136.0,113.0
ABQ,28,116.0,0.0,25.0,0.0,29.0,123.0
ABQ,29,25.0,0.0,32.0,0.0,180.0,266.0
ABQ,30,257.0,0.0,14.0,0.0,21.0,67.0
ABR,1,0.0,0.0,0.0,0.0,0.0,7.0
ABR,2,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,3,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,4,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,5,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,6,58.0,0.0,8.0,0.0,0.0,0.0
ABR,7,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,8,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,9,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,10,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,11,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,12,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,13,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,14,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,15,0.0,0.0,275.0,0.0,32.0,9.0
ABR,16,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,17,31.0,0.0,0.0,0.0,0.0,11.0
ABR,18,0.0,0.0,0.0,0.0,72.0,11.0
ABR,19,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,20,0.0,0.0,0.0,0.0,0.0,17.0
ABR,21,17.0,0.0,3.0,0.0,0.0,0.0
ABR,22,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,23,0.0,0.0,21.0,0.0,0.0,0.0
ABR,24,1.0,0.0,8.0,0.0,149.0,0.0
ABR,25,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,26,0.0,0.0,4.0,17.0,0.0,0.0
ABR,27,0.0,0.0,0.0,0.0,0.0,10.0
ABR,28,0.0,0.0,0.0,0.0,0.0,1.0
ABR,29,1.0,0.0,4.0,0.0,12.0,4.0
ABR,30,0.0,0.0,0.0,0.0,0.0,-0.0
ACK,1,0.0,0.0,29.0,0.0,0.0,0.0
ACK,2,0.0,0.0,17.0,0.0,0.0,0.0
ACK,3,263.0,0.0,150.0,0.0,0.0,23.0
ACK,4,0.0,0.0,0.0,0.0,0.0,24.0
ACK,5,6.0,0.0,464.0,0.0,10.0,0.0
ACK,6,21.0,0.0,2.0,0.0,55.0,42.0
ACK,7,0.0,0.0,0.0,0.0,0.0,-0.0
ACK,8,0.0,0.0,0.0,0.0,0.0,6.0
ACK,9,0.0,0.0,0.0,0.0,0.0,-0.0
ACK,10,0.0,0.0,0.0,0.0,0.0,-0.0
ACK,11,0.0,0.0,0.0,0.0,0.0,-0.0
ACK,12,0.0,0.0,0.0,0.0,0.0,-0.0
ACK,13,312.0,0.0,5.0,0.0,146.0,6.0
ACK,14,22.0,0.0,5.0,0.0,201.0,5.0
ACK,15,0.0,0.0,24.0,0.0,0.0,13.0
ACK,16,29.0,0.0,6.0,0.0,73.0,27.0
ACK,17,0.0,0.0,43.0,18.0,73.0,30.0
ACK,18,0.0,0.0,0.0,0.0,0.0,22.0
ACK,19,0.0,10.0,379.0,0.0,98.0,0.0
ACK,20,0.0,0.0,0.0,0.0,0.0,-0.0
ACK,21,0.0,0.0,0.0,0.0,0.0,-0.0
ACK,22,14.0,205.0,0.0,0.0,82.0,51.0
ACK,23,0.0,0.0,0.0,0.0,0.0,9.0
ACK,24,170.0,0.0,0.0,31.0,92.0,20.0
ACK,25,0.0,0.0,0.0,0.0,0.0,1.0
ACK,26,0.0,0.0,0.0,0.0,0.0,-0.0
ACK,27,0.0,0.0,0.0,0.0,0.0,-0.0
ACK,28,0.0,0.0,0.0,0.0,0.0,-0.0
ACK,29,0.0,0.0,0.0,0.0,0.0,-0.0
ACK,30,0.0,0.0,84.0,0.0,0.0,0.0
ACV,1,0.0,0.0,58.0,0.0,8.0,0.0
ACV,2,0.0,0.0,0.0,0.0,0.0,4.0
ACV,3,0.0,0.0,0.0,0.0,0.0,-0.0
ACV,4,0.0,0.0,0.0,0.0,85.0,-0.0
ACV,5,0.0,0.0,0.0,0.0,38.0,2.0
ACV,6,0.0,0.0,8.0,0.0,70.0,8.0
ACV,7,0.0,0.0,47.0,0.0,66.0,3.0
ACV,8,0.0,0.0,55.0,0.0,0.0,0.0
ACV,9,0.0,0.0,0.0,0.0,0.0,13.0
ACV,10,0.0,0.0,0.0,0.0,0.0,11.0
ACV,11,0.0,0.0,0.0,0.0,0.0,-0.0
ACV,12,0.0,0.0,6.0,0.0,32.0,1.0
ACV,13,0.0,0.0,40.0,0.0,104.0,0.0
ACV,14,0.0,0.0,0.0,0.0,0.0,-0.0
ACV,15,0.0,0.0,0.0,0.0,0.0,10.0
ACV,16,0.0,0.0,0.0,0.0,0.0,-0.0
ACV,17,0.0,0.0,103.0,0.0,0.0,14.0
ACV,18,0.0,0.0,1.0,0.0,103.0,20.0
ACV,19,0.0,0.0,0.0,0.0,0.0,1.0
ACV,20,0.0,0.0,7.0,0.0,110.0,1.0
ACV,21,0.0,0.0,0.0,0.0,45.0,5.0
ACV,22,0.0,0.0,30.0,0.0,0.0,0.0
ACV,23,0.0,0.0,0.0,0.0,0.0,-0.0
ACV,24,0.0,0.0,0.0,0.0,53.0,11.0
ACV,25,0.0,0.0,0.0,0.0,0.0,-0.0
ACV,26,0.0,0.0,0.0,0.0,0.0,17.0
ACV,27,0.0,0.0,0.0,0.0,0.0,-0.0
ACV,28,0.0,0.0,0.0,0.0,0.0,-0.0
ACV,29,0.0,0.0,37.0,0.0,0.0,0.0
ACV,30,0.0,0.0,0.0,0.0,0.0,-0.0
ACY,1,25.0,0.0,23.0,0.0,36.0,-0.0
ACY,2,0.0,0.0,74.0,0.0,29.0,0.0
ACY,3,0.0,0.0,4.0,0.0,80.0,0.0
ACY,4,0.0,0.0,0.0,0.0,0.0,3.0
ACY,5,0.0,0.0,106.0,0.0,0.0,14.0
ACY,6,0.0,10.0,147.0,0.0,0.0,0.0
ACY,7,3.0,0.0,16.0,0.0,0.0,0.0
ACY,8,0.0,0.0,0.0,0.0,0.0,14.0
ACY,9,0.0,0.0,0.0,0.0,0.0,5.0
ACY,10,0.0,0.0,100.0,0.0,0.0,11.0
ACY,11,0.0,0.0,0.0,0.0,0.0,-0.0
ACY,12,0.0,0.0,0.0,0.0,0.0,-0.0
ACY,13,48.0,0.0,0.0,0.0,0.0,27.0
ACY,14,84.0,0.0,46.0,0.0,52.0,0.0
ACY,15,0.0,0.0,0.0,0.0,0.0,-0.0
ACY,16,99.0,9.0,109.0,0.0,238.0,0.0
ACY,17,0.0,0.0,0.0,0.0,0.0,-0.0
ACY,18,0.0,0.0,27.0,0.0,0.0,0.0
ACY,19,0.0,0.0,0.0,0.0,0.0,-0.0
ACY,20,0.0,0.0,0.0,0.0,0.0,-0.0
