Origin,DayofMonth,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,UnknownDelay
ABE,1,67.0,516.0,18.0,0.0,124.0,44.0
ABE,2,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,3,0.0,0.0,0.0,0.0,34.0,22.0
ABE,4,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,5,11.0,0.0,27.0,0.0,0.0,0.0
ABE,6,21.0,0.0,247.0,0.0,292.0,0.0
ABE,7,22.0,0.0,73.0,0.0,0.0,0.0
ABE,8,1017.0,0.0,49.0,0.0,353.0,0.0
ABE,9,55.0,0.0,0.0,0.0,0.0,23.0
ABE,10,0.0,0.0,36.0,0.0,36.0,0.0
ABE,11,0.0,0.0,33.0,0.0,0.0,6.0
ABE,12,0.0,0.0,256.0,0.0,82.0,0.0
ABE,13,0.0,0.0,212.0,0.0,0.0,0.0
ABE,14,0.0,0.0,0.0,0.0,0.0,9.0
ABE,15,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,16,81.0,0.0,5.0,0.0,0.0,0.0
ABE,17,0.0,0.0,0.0,0.0,0.0,11.0
ABE,18,0.0,0.0,0.0,0.0,26.0,45.0
ABE,19,150.0,0.0,0.0,0.0,90.0,49.0
ABE,20,0.0,0.0,0.0,0.0,131.0,22.0
ABE,21,45.0,0.0,75.0,0.0,179.0,0.0
ABE,22,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,23,0.0,0.0,0.0,0.0,59.0,10.0
ABE,24,0.0,0.0,111.0,0.0,0.0,0.0
ABE,25,18.0,1.0,22.0,0.0,342.0,0.0
ABE,26,33.0,0.0,74.0,0.0,0.0,0.0
ABE,27,0.0,0.0,9.0,0.0,65.0,3.0
ABE,28,9.0,0.0,48.0,0.0,131.0,0.0
ABE,29,97.0,0.0,36.0,0.0,188.0,0.0
ABE,30,16.0,0.0,6.0,0.0,0.0,0.0
ABE,31,0.0,0.0,20.0,0.0,271.0,0.0
ABI,5,0.0,0.0,0.0,0.0,55.0,15.0
ABI,6,0.0,0.0,0.0,0.0,0.0,-0.0
ABI,7,0.0,0.0,0.0,0.0,0.0,12.0
ABI,8,0.0,0.0,0.0,0.0,0.0,-0.0
ABI,10,0.0,0.0,0.0,0.0,0.0,4.0
ABI,11,7.0,0.0,3.0,0.0,18.0,0.0
ABI,12,0.0,0.0,0.0,0.0,0.0,9.0
ABI,13,0.0,0.0,0.0,0.0,0.0,-0.0
ABI,14,0.0,0.0,0.0,0.0,0.0,2.0
ABI,15,0.0,0.0,0.0,0.0,0.0,-0.0
ABI,17,0.0,0.0,0.0,0.0,0.0,-0.0
ABI,18,0.0,0.0,0.0,0.0,0.0,-0.0
ABI,19,0.0,0.0,0.0,0.0,0.0,-0.0
ABI,20,0.0,0.0,0.0,0.0,0.0,-0.0
ABI,21,0.0,0.0,0.0,0.0,0.0,-0.0
ABI,22,35.0,0.0,0.0,0.0,0.0,18.0
ABI,24,31.0,0.0,8.0,0.0,0.0,0.0
ABI,25,0.0,0.0,0.0,0.0,0.0,-0.0
ABI,26,0.0,0.0,0.0,0.0,0.0,-0.0
ABI,27,0.0,0.0,0.0,0.0,0.0,-0.0
ABI,28,0.0,0.0,0.0,0.0,0.0,-0.0
ABI,29,6.0,0.0,15.0,0.0,109.0,0.0
ABI,31,0.0,0.0,0.0,0.0,0.0,-0.0
ABQ,1,20.0,27.0,128.0,0.0,326.0,140.0
ABQ,2,15.0,0.0,16.0,0.0,116.0,109.0
ABQ,3,26.0,0.0,4.0,0.0,81.0,56.0
ABQ,4,88.0,9.0,62.0,0.0,205.0,4.0
ABQ,5,134.0,0.0,59.0,0.0,166.0,159.0
ABQ,6,65.0,0.0,33.0,0.0,129.0,117.0
ABQ,7,68.0,0.0,13.0,0.0,183.0,123.0
ABQ,8,22.0,0.0,149.0,0.0,357.0,139.0
ABQ,9,178.0,59.0,71.0,0.0,1216.0,17.0
ABQ,10,503.0,101.0,91.0,0.0,298.0,26.0
ABQ,11,78.0,0.0,15.0,0.0,182.0,77.0
ABQ,12,75.0,0.0,70.0,0.0,221.0,51.0
ABQ,13,196.0,178.0,50.0,0.0,264.0,50.0
ABQ,14,65.0,0.0,39.0,0.0,446.0,82.0
ABQ,15,790.0,64.0,200.0,0.0,798.0,118.0
ABQ,16,42.0,0.0,25.0,0.0,254.0,139.0
ABQ,17,431.0,9.0,137.0,0.0,275.0,88.0
ABQ,18,238.0,0.0,159.0,0.0,746.0,113.0
ABQ,19,42.0,23.0,63.0,0.0,408.0,94.0
ABQ,20,643.0,0.0,46.0,0.0,486.0,406.0
ABQ,21,260.0,0.0,213.0,0.0,632.0,167.0
ABQ,22,271.0,0.0,91.0,0.0,1538.0,137.0
ABQ,23,8.0,44.0,74.0,0.0,413.0,105.0
ABQ,24,69.0,29.0,137.0,0.0,615.0,0.0
ABQ,25,16.0,161.0,307.0,0.0,377.0,0.0
ABQ,26,457.0,0.0,119.0,0.0,449.0,65.0
ABQ,27,559.0,19.0,65.0,0.0,447.0,122.0
ABQ,28,146.0,63.0,138.0,0.0,360.0,61.0
ABQ,29,80.0,0.0,227.0,0.0,413.0,71.0
ABQ,30,534.0,0.0,128.0,0.0,705.0,66.0
ABQ,31,233.0,0.0,53.0,0.0,440.0,134.0
ABR,1,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,2,0.0,0.0,0.0,0.0,0.0,4.0
ABR,3,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,4,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,5,0.0,0.0,0.0,0.0,0.0,7.0
ABR,6,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,7,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,8,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,9,0.0,0.0,0.0,0.0,0.0,1.0
ABR,10,0.0,0.0,0.0,0.0,43.0,42.0
ABR,11,0.0,20.0,0.0,0.0,207.0,31.0
ABR,12,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,13,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,14,0.0,0.0,0.0,0.0,0.0,3.0
ABR,15,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,16,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,17,0.0,0.0,0.0,0.0,0.0,14.0
ABR,18,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,19,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,20,0.0,0.0,0.0,0.0,0.0,3.0
ABR,21,0.0,0.0,0.0,0.0,0.0,15.0
ABR,22,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,23,0.0,0.0,23.0,0.0,149.0,0.0
ABR,24,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,25,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,26,0.0,0.0,0.0,0.0,0.0,6.0
ABR,27,0.0,0.0,38.0,0.0,0.0,0.0
ABR,28,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,29,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,30,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,31,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,1,6.0,0.0,11.0,0.0,0.0,0.0
ABY,2,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,3,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,4,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,5,0.0,0.0,0.0,0.0,33.0,11.0
ABY,6,2.0,0.0,1.0,0.0,188.0,0.0
ABY,7,0.0,0.0,0.0,0.0,0.0,23.0
ABY,8,0.0,0.0,0.0,0.0,0.0,25.0
ABY,9,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,10,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,11,0.0,0.0,80.0,0.0,0.0,0.0
ABY,12,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,13,0.0,0.0,0.0,0.0,0.0,-0.0
