Origin,DayofMonth,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,UnknownDelay
ABE,1,48.0,0.0,15.0,0.0,121.0,4.0
ABE,2,0.0,0.0,0.0,0.0,0.0,29.0
ABE,3,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,4,11.0,0.0,11.0,0.0,35.0,0.0
ABE,5,0.0,0.0,45.0,0.0,0.0,0.0
ABE,6,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,7,0.0,0.0,0.0,0.0,0.0,8.0
ABE,8,0.0,0.0,0.0,0.0,0.0,1.0
ABE,9,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,10,0.0,0.0,0.0,0.0,0.0,13.0
ABE,11,0.0,0.0,0.0,0.0,0.0,20.0
ABE,12,0.0,0.0,0.0,0.0,0.0,5.0
ABE,13,204.0,0.0,170.0,0.0,2.0,0.0
ABE,14,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,15,0.0,0.0,0.0,0.0,45.0,22.0
ABE,16,0.0,0.0,0.0,0.0,0.0,5.0
ABE,17,0.0,0.0,0.0,0.0,0.0,5.0
ABE,18,0.0,0.0,0.0,0.0,0.0,4.0
ABE,19,0.0,0.0,0.0,0.0,24.0,31.0
ABE,20,0.0,0.0,0.0,0.0,0.0,3.0
ABE,21,0.0,0.0,0.0,0.0,0.0,1.0
ABE,22,0.0,0.0,0.0,0.0,0.0,3.0
ABE,23,0.0,0.0,0.0,0.0,39.0,16.0
ABE,24,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,25,0.0,0.0,0.0,0.0,0.0,4.0
ABE,26,36.0,0.0,17.0,0.0,0.0,0.0
ABE,27,36.0,0.0,0.0,0.0,46.0,23.0
ABE,28,191.0,0.0,0.0,0.0,0.0,23.0
ABE,29,0.0,0.0,36.0,0.0,0.0,0.0
ABE,30,0.0,0.0,0.0,0.0,25.0,17.0
ABQ,1,78.0,52.0,90.0,0.0,318.0,0.0
ABQ,2,121.0,142.0,104.0,0.0,686.0,49.0
ABQ,3,348.0,0.0,22.0,0.0,117.0,118.0
ABQ,4,8.0,0.0,175.0,0.0,320.0,64.0
ABQ,5,108.0,0.0,94.0,0.0,456.0,133.0
ABQ,6,115.0,0.0,153.0,0.0,531.0,99.0
ABQ,7,65.0,0.0,47.0,0.0,159.0,127.0
ABQ,8,106.0,0.0,79.0,0.0,350.0,118.0
ABQ,9,1004.0,241.0,88.0,0.0,588.0,105.0
ABQ,10,160.0,0.0,1.0,0.0,19.0,100.0
ABQ,11,0.0,0.0,7.0,0.0,206.0,86.0
ABQ,12,189.0,0.0,119.0,0.0,260.0,109.0
ABQ,13,181.0,0.0,41.0,0.0,311.0,145.0
ABQ,14,666.0,0.0,232.0,0.0,528.0,151.0
ABQ,15,40.0,0.0,173.0,0.0,626.0,194.0
ABQ,16,457.0,0.0,76.0,0.0,423.0,133.0
ABQ,17,50.0,0.0,31.0,0.0,240.0,148.0
ABQ,18,25.0,0.0,160.0,0.0,100.0,61.0
ABQ,19,499.0,166.0,104.0,0.0,1025.0,178.0
ABQ,20,144.0,0.0,118.0,0.0,323.0,148.0
ABQ,21,21.0,0.0,70.0,0.0,391.0,158.0
ABQ,22,147.0,0.0,92.0,0.0,222.0,39.0
ABQ,23,13.0,0.0,75.0,0.0,288.0,110.0
ABQ,24,225.0,63.0,79.0,0.0,645.0,206.0
ABQ,25,127.0,55.0,63.0,0.0,662.0,114.0
ABQ,26,1228.0,4.0,91.0,0.0,369.0,94.0
ABQ,27,67.0,6.0,131.0,0.0,219.0,59.0
ABQ,28,177.0,0.0,66.0,0.0,267.0,91.0
ABQ,29,11.0,0.0,0.0,0.0,65.0,109.0
ABQ,30,200.0,0.0,47.0,0.0,467.0,182.0
ABR,1,304.0,0.0,0.0,0.0,2.0,13.0
ABR,2,656.0,0.0,20.0,0.0,0.0,0.0
ABR,3,0.0,0.0,0.0,0.0,0.0,3.0
ABR,4,0.0,0.0,0.0,0.0,0.0,5.0
ABR,5,0.0,0.0,0.0,0.0,0.0,1.0
ABR,6,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,7,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,8,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,9,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,10,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,11,0.0,0.0,8.0,0.0,38.0,-0.0
ABR,12,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,13,0.0,0.0,0.0,0.0,0.0,3.0
ABR,14,0.0,0.0,0.0,0.0,46.0,19.0
ABR,15,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,16,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,17,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,18,0.0,0.0,0.0,0.0,0.0,1.0
ABR,19,0.0,0.0,0.0,0.0,0.0,4.0
ABR,20,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,21,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,22,32.0,0.0,0.0,0.0,7.0,9.0
ABR,23,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,24,0.0,0.0,5.0,0.0,13.0,0.0
ABR,25,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,26,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,27,17.0,0.0,0.0,0.0,0.0,7.0
