Origin,DayofMonth,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,UnknownDelay
ABE,1,0.0,0.0,0.0,0.0,0.0,1.0
ABE,2,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,3,30.0,0.0,32.0,0.0,95.0,0.0
ABE,4,0.0,0.0,0.0,0.0,67.0,1.0
ABE,5,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,6,54.0,0.0,45.0,0.0,77.0,7.0
ABE,7,998.0,0.0,7.0,0.0,240.0,45.0
ABE,8,509.0,0.0,0.0,0.0,0.0,21.0
ABE,9,0.0,0.0,0.0,0.0,17.0,39.0
ABE,10,86.0,0.0,0.0,0.0,0.0,44.0
ABE,11,0.0,0.0,0.0,0.0,60.0,30.0
ABE,12,0.0,0.0,0.0,0.0,0.0,12.0
ABE,13,0.0,0.0,0.0,0.0,119.0,18.0
ABE,14,0.0,0.0,0.0,0.0,0.0,23.0
ABE,15,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,16,0.0,0.0,0.0,0.0,37.0,21.0
ABE,17,0.0,0.0,10.0,0.0,13.0,0.0
ABE,18,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,19,0.0,0.0,2.0,0.0,274.0,4.0
ABE,20,177.0,0.0,0.0,0.0,30.0,14.0
ABE,21,0.0,0.0,0.0,0.0,33.0,8.0
ABE,22,0.0,0.0,0.0,0.0,0.0,2.0
ABE,23,0.0,0.0,0.0,0.0,26.0,5.0
ABE,24,0.0,0.0,0.0,0.0,0.0,22.0
ABE,25,0.0,0.0,0.0,0.0,0.0,24.0
ABE,26,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,27,0.0,0.0,0.0,0.0,0.0,4.0
ABE,28,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,29,0.0,0.0,0.0,0.0,100.0,12.0
ABE,30,0.0,0.0,0.0,0.0,0.0,11.0
ABQ,1,14.0,0.0,22.0,0.0,19.0,46.0
ABQ,2,1138.0,3.0,264.0,0.0,584.0,0.0
ABQ,3,40.0,0.0,179.0,0.0,351.0,125.0
ABQ,4,18.0,0.0,20.0,0.0,309.0,86.0
ABQ,5,26.0,0.0,38.0,0.0,222.0,42.0
ABQ,6,48.0,0.0,476.0,0.0,387.0,66.0
ABQ,7,94.0,0.0,21.0,0.0,320.0,103.0
ABQ,8,157.0,208.0,68.0,0.0,186.0,0.0
ABQ,9,6.0,0.0,61.0,0.0,96.0,54.0
ABQ,10,15.0,66.0,49.0,0.0,325.0,24.0
