Origin,DayofMonth,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,UnknownDelay
ABE,1,3.0,0.0,10.0,0.0,80.0,0.0
ABE,2,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,3,0.0,0.0,0.0,0.0,0.0,3.0
ABE,4,0.0,0.0,21.0,0.0,0.0,0.0
ABE,5,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,6,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,7,0.0,0.0,0.0,0.0,40.0,23.0
ABE,8,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,9,0.0,0.0,0.0,0.0,0.0,4.0
ABE,10,0.0,0.0,0.0,0.0,199.0,10.0
ABE,11,0.0,0.0,0.0,0.0,26.0,13.0
ABE,12,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,13,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,14,0.0,0.0,0.0,0.0,0.0,20.0
ABE,15,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,16,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,17,817.0,0.0,0.0,0.0,0.0,9.0
ABE,18,0.0,0.0,0.0,0.0,31.0,11.0
ABE,19,0.0,0.0,0.0,0.0,19.0,10.0
ABE,20,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,21,18.0,0.0,2.0,0.0,53.0,12.0
ABE,22,120.0,0.0,0.0,0.0,135.0,21.0
ABE,23,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,24,56.0,0.0,63.0,0.0,8.0,0.0
ABE,25,0.0,0.0,0.0,0.0,151.0,22.0
ABE,26,0.0,0.0,0.0,0.0,0.0,5.0
ABE,27,400.0,0.0,0.0,0.0,0.0,5.0
ABE,28,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,29,0.0,0.0,10.0,0.0,40.0,0.0
ABE,30,0.0,0.0,0.0,0.0,0.0,10.0
ABE,31,0.0,0.0,0.0,0.0,0.0,-0.0
ABQ,1,202.0,0.0,32.0,0.0,191.0,149.0
ABQ,2,837.0,0.0,50.0,0.0,0.0,58.0
ABQ,3,30.0,24.0,364.0,0.0,221.0,0.0
ABQ,4,131.0,0.0,68.0,0.0,124.0,155.0
ABQ,5,100.0,0.0,72.0,0.0,175.0,94.0
ABQ,6,40.0,145.0,74.0,0.0,226.0,69.0
ABQ,7,16.0,0.0,361.0,0.0,303.0,7.0
ABQ,8,319.0,0.0,203.0,0.0,185.0,142.0
ABQ,9,24.0,50.0,72.0,0.0,161.0,185.0
ABQ,10,47.0,1.0,23.0,0.0,249.0,214.0
ABQ,11,123.0,0.0,51.0,0.0,357.0,173.0
ABQ,12,70.0,0.0,75.0,0.0,201.0,108.0
ABQ,13,23.0,0.0,11.0,0.0,41.0,88.0
ABQ,14,103.0,0.0,114.0,0.0,180.0,53.0
ABQ,15,4.0,0.0,101.0,0.0,57.0,144.0
ABQ,16,225.0,0.0,65.0,0.0,105.0,171.0
ABQ,17,88.0,0.0,121.0,0.0,35.0,65.0
ABQ,18,405.0,0.0,216.0,0.0,302.0,51.0
ABQ,19,37.0,0.0,181.0,0.0,573.0,63.0
ABQ,20,99.0,0.0,44.0,0.0,116.0,125.0
ABQ,21,111.0,0.0,231.0,0.0,248.0,191.0
ABQ,22,1022.0,0.0,107.0,0.0,209.0,231.0
ABQ,23,153.0,0.0,106.0,0.0,414.0,165.0
ABQ,24,68.0,0.0,3.0,0.0,550.0,160.0
ABQ,25,72.0,0.0,178.0,0.0,329.0,89.0
ABQ,26,275.0,0.0,34.0,0.0,384.0,244.0
ABQ,27,4.0,0.0,22.0,0.0,47.0,66.0
ABQ,28,0.0,0.0,110.0,0.0,261.0,71.0
ABQ,29,53.0,0.0,39.0,0.0,118.0,133.0
ABQ,30,27.0,0.0,97.0,0.0,76.0,122.0
ABQ,31,28.0,0.0,69.0,0.0,154.0,99.0
ABR,1,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,2,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,3,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,4,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,5,0.0,0.0,0.0,0.0,0.0,2.0
ABR,6,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,7,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,8,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,9,0.0,0.0,0.0,0.0,24.0,7.0
ABR,10,60.0,0.0,0.0,0.0,0.0,16.0
ABR,11,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,12,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,13,301.0,0.0,0.0,0.0,0.0,4.0
ABR,14,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,15,0.0,0.0,0.0,0.0,50.0,13.0
ABR,16,0.0,0.0,0.0,0.0,0.0,13.0
ABR,17,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,18,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,19,0.0,0.0,0.0,0.0,0.0,10.0
ABR,20,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,21,0.0,0.0,0.0,0.0,0.0,4.0
ABR,22,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,23,0.0,0.0,0.0,0.0,0.0,6.0
ABR,24,16.0,0.0,0.0,0.0,0.0,23.0
ABR,25,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,26,0.0,0.0,0.0,0.0,0.0,38.0
ABR,27,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,28,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,29,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,30,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,31,3.0,0.0,14.0,0.0,0.0,0.0
ABY,1,177.0,0.0,2.0,0.0,0.0,-0.0
ABY,2,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,3,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,4,140.0,0.0,18.0,0.0,21.0,0.0
ABY,5,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,6,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,7,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,8,0.0,0.0,0.0,0.0,0.0,11.0
ABY,9,0.0,0.0,0.0,0.0,0.0,1.0
ABY,10,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,11,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,12,18.0,0.0,2.0,0.0,12.0,0.0
ABY,13,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,14,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,15,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,16,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,17,0.0,0.0,0.0,0.0,0.0,12.0
ABY,18,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,19,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,20,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,21,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,22,5.0,0.0,0.0,0.0,54.0,3.0
ABY,23,0.0,0.0,0.0,0.0,0.0,18.0
ABY,24,0.0,0.0,0.0,0.0,0.0,3.0
ABY,25,287.0,0.0,5.0,0.0,0.0,0.0
ABY,26,0.0,0.0,0.0,0.0,0.0,2.0
ABY,27,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,28,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,29,0.0,0.0,3.0,0.0,41.0,0.0
ABY,30,0.0,0.0,0.0,0.0,0.0,10.0
ABY,31,0.0,0.0,5.0,0.0,97.0,0.0
ACK,18,0.0,0.0,150.0,0.0,86.0,10.0
ACK,19,12.0,0.0,0.0,0.0,134.0,21.0
ACK,20,0.0,0.0,0.0,0.0,0.0,9.0
ACK,21,0.0,0.0,146.0,56.0,93.0,34.0
ACK,22,0.0,0.0,366.0,0.0,0.0,19.0
ACK,23,0.0,0.0,0.0,0.0,0.0,-0.0
ACK,24,0.0,0.0,0.0,0.0,0.0,-0.0
ACK,25,119.0,0.0,515.0,0.0,175.0,0.0
ACK,26,37.0,0.0,5.0,0.0,301.0,10.0
ACK,27,0.0,0.0,130.0,0.0,0.0,0.0
ACK,28,5.0,0.0,380.0,0.0,19.0,0.0
ACK,29,0.0,0.0,228.0,0.0,22.0,24.0
ACK,30,0.0,0.0,180.0,0.0,231.0,24.0
ACK,31,0.0,0.0,0.0,0.0,0.0,13.0
ACV,1,14.0,0.0,14.0,0.0,3.0,0.0
ACV,2,0.0,0.0,0.0,0.0,0.0,17.0
ACV,3,0.0,0.0,0.0,0.0,43.0,3.0
ACV,4,0.0,0.0,14.0,0.0,10.0,0.0
ACV,5,0.0,0.0,19.0,0.0,186.0,0.0
ACV,6,0.0,0.0,0.0,0.0,0.0,-0.0
ACV,7,0.0,0.0,0.0,0.0,0.0,-0.0
ACV,8,0.0,0.0,0.0,0.0,0.0,-0.0
ACV,9,0.0,0.0,0.0,0.0,0.0,-0.0
ACV,10,0.0,0.0,9.0,0.0,6.0,0.0
ACV,11,0.0,0.0,41.0,0.0,158.0,0.0
ACV,12,0.0,0.0,0.0,0.0,0.0,21.0
ACV,13,0.0,0.0,15.0,0.0,7.0,0.0
ACV,14,0.0,0.0,0.0,0.0,0.0,-0.0
ACV,15,0.0,0.0,0.0,0.0,0.0,10.0
ACV,16,0.0,0.0,27.0,0.0,7.0,0.0
ACV,17,0.0,0.0,0.0,0.0,0.0,-0.0
ACV,18,0.0,0.0,0.0,0.0,0.0,-0.0
ACV,19,0.0,0.0,0.0,0.0,0.0,-0.0
ACV,20,0.0,0.0,0.0,0.0,43.0,5.0
ACV,21,0.0,0.0,0.0,0.0,0.0,-0.0
ACV,22,0.0,0.0,0.0,0.0,0.0,22.0
ACV,23,0.0,0.0,3.0,0.0,163.0,0.0
ACV,24,0.0,0.0,2.0,0.0,100.0,0.0
ACV,25,0.0,0.0,57.0,0.0,32.0,6.0
ACV,26,0.0,0.0,186.0,0.0,0.0,19.0
ACV,27,0.0,0.0,35.0,0.0,0.0,18.0
ACV,28,0.0,0.0,157.0,0.0,132.0,0.0
ACV,29,0.0,0.0,86.0,0.0,0.0,0.0
ACV,30,0.0,0.0,0.0,0.0,0.0,18.0
ACV,31,0.0,0.0,11.0,0.0,4.0,0.0
ACY,1,0.0,0.0,78.0,0.0,0.0,25.0
ACY,2,0.0,0.0,156.0,0.0,0.0,0.0
ACY,3,0.0,0.0,0.0,0.0,0.0,-0.0
ACY,4,0.0,0.0,44.0,0.0,0.0,0.0
ACY,5,10.0,0.0,209.0,0.0,12.0,0.0
ACY,6,36.0,0.0,16.0,0.0,0.0,0.0
ACY,7,0.0,0.0,26.0,0.0,0.0,1.0
ACY,8,170.0,0.0,1.0,0.0,209.0,34.0
ACY,9,11.0,0.0,309.0,0.0,271.0,31.0
ACY,10,0.0,0.0,0.0,0.0,0.0,-0.0
ACY,11,0.0,0.0,0.0,0.0,0.0,-0.0
ACY,12,0.0,0.0,0.0,0.0,28.0,23.0
ACY,13,0.0,0.0,0.0,0.0,0.0,-0.0
ACY,14,0.0,0.0,40.0,0.0,0.0,0.0
ACY,15,0.0,0.0,0.0,0.0,0.0,2.0
ACY,16,0.0,0.0,0.0,0.0,0.0,-0.0
ACY,17,0.0,0.0,128.0,0.0,0.0,9.0
ACY,18,0.0,0.0,0.0,30.0,0.0,18.0
ACY,19,0.0,0.0,44.0,0.0,0.0,4.0
ACY,20,8.0,109.0,119.0,0.0,12.0,0.0
ACY,21,0.0,0.0,0.0,0.0,0.0,19.0
ACY,22,22.0,0.0,32.0,0.0,0.0,0.0
ACY,23,0.0,0.0,129.0,0.0,0.0,31.0
ACY,24,0.0,0.0,374.0,0.0,20.0,0.0
ACY,25,52.0,3.0,74.0,0.0,165.0,0.0
ACY,26,0.0,0.0,7.0,0.0,239.0,9.0
ACY,27,0.0,0.0,38.0,0.0,26.0,13.0
ACY,28,240.0,0.0,16.0,0.0,0.0,36.0
ACY,29,10.0,0.0,164.0,0.0,0.0,0.0
ACY,30,0.0,0.0,226.0,0.0,0.0,0.0
ACY,31,0.0,0.0,159.0,0.0,3.0,0.0
ADK,4,0.0,0.0,0.0,0.0,0.0,-0.0
ADK,7,0.0,0.0,0.0,0.0,0.0,-0.0
ADK,11,0.0,5.0,0.0,0.0,12.0,3.0
ADK,14,14.0,0.0,3.0,0.0,18.0,0.0
