Origin,DayofMonth,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,UnknownDelay
ABE,1,33.0,0.0,0.0,0.0,0.0,13.0
ABE,2,0.0,0.0,0.0,0.0,0.0,5.0
ABE,3,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,4,0.0,0.0,0.0,0.0,160.0,42.0
ABE,5,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,6,0.0,0.0,0.0,0.0,0.0,7.0
ABE,7,725.0,0.0,0.0,0.0,170.0,21.0
ABE,8,0.0,0.0,0.0,0.0,0.0,15.0
ABE,9,1037.0,0.0,0.0,0.0,16.0,60.0
ABE,10,0.0,0.0,0.0,0.0,0.0,17.0
ABE,11,0.0,0.0,0.0,0.0,0.0,7.0
ABE,12,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,13,0.0,0.0,0.0,0.0,0.0,37.0
ABE,14,0.0,0.0,0.0,0.0,66.0,23.0
ABE,15,0.0,0.0,5.0,0.0,60.0,8.0
ABE,16,0.0,0.0,0.0,0.0,0.0,12.0
ABE,17,0.0,0.0,0.0,0.0,0.0,55.0
ABE,18,0.0,0.0,0.0,0.0,32.0,19.0
ABE,19,0.0,0.0,0.0,0.0,0.0,14.0
ABE,20,0.0,0.0,0.0,0.0,31.0,34.0
ABE,21,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,22,10.0,0.0,11.0,0.0,0.0,0.0
ABE,23,0.0,0.0,0.0,0.0,43.0,17.0
ABE,24,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,25,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,26,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,27,0.0,0.0,0.0,0.0,113.0,34.0
ABE,28,0.0,0.0,0.0,0.0,115.0,9.0
ABE,29,11.0,0.0,0.0,0.0,87.0,8.0
ABE,30,0.0,0.0,3.0,0.0,202.0,21.0
ABI,1,0.0,0.0,0.0,0.0,0.0,13.0
ABI,2,0.0,0.0,0.0,0.0,19.0,-0.0
ABI,3,0.0,0.0,0.0,0.0,0.0,2.0
