Origin,DayofMonth,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,UnknownDelay
ABE,1,2.0,0.0,57.0,0.0,0.0,0.0
ABE,2,20.0,0.0,23.0,0.0,0.0,0.0
ABE,3,0.0,0.0,0.0,0.0,0.0,27.0
ABE,4,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,5,0.0,0.0,0.0,0.0,136.0,47.0
ABE,6,3.0,0.0,37.0,0.0,117.0,0.0
ABE,7,196.0,0.0,0.0,0.0,0.0,13.0
ABE,8,0.0,0.0,0.0,0.0,0.0,6.0
ABE,9,0.0,0.0,127.0,0.0,0.0,5.0
ABE,10,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,11,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,12,0.0,0.0,5.0,0.0,49.0,32.0
ABE,13,0.0,0.0,17.0,0.0,0.0,0.0
ABE,14,0.0,0.0,128.0,0.0,0.0,26.0
ABE,15,0.0,0.0,15.0,0.0,0.0,3.0
ABE,16,0.0,0.0,62.0,0.0,0.0,0.0
ABE,17,1.0,0.0,0.0,0.0,241.0,31.0
ABE,18,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,19,266.0,0.0,0.0,0.0,6.0,46.0
ABE,20,432.0,15.0,213.0,0.0,24.0,103.0
ABE,21,56.0,0.0,2.0,0.0,11.0,30.0
ABE,22,7.0,0.0,34.0,0.0,46.0,0.0
ABE,23,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,24,0.0,0.0,0.0,0.0,0.0,18.0
ABE,25,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,26,23.0,0.0,18.0,0.0,0.0,7.0
ABE,27,0.0,0.0,0.0,0.0,0.0,28.0
ABE,28,0.0,0.0,93.0,0.0,100.0,0.0
ABE,29,114.0,0.0,0.0,0.0,0.0,43.0
ABE,30,137.0,0.0,31.0,0.0,26.0,0.0
ABI,5,0.0,0.0,0.0,0.0,0.0,-0.0
ABI,12,142.0,0.0,74.0,0.0,0.0,0.0
ABI,19,0.0,0.0,0.0,0.0,0.0,-0.0
ABI,26,0.0,0.0,0.0,0.0,0.0,12.0
ABQ,1,165.0,0.0,171.0,0.0,253.0,166.0
ABQ,2,90.0,0.0,190.0,0.0,645.0,147.0
ABQ,3,366.0,0.0,143.0,0.0,274.0,41.0
ABQ,4,56.0,0.0,273.0,0.0,73.0,0.0
ABQ,5,124.0,0.0,413.0,0.0,596.0,0.0
ABQ,6,149.0,0.0,185.0,0.0,580.0,137.0
ABQ,7,165.0,0.0,68.0,0.0,516.0,101.0
ABQ,8,49.0,41.0,54.0,0.0,126.0,63.0
ABQ,9,26.0,49.0,73.0,0.0,431.0,33.0
ABQ,10,206.0,0.0,118.0,14.0,545.0,16.0
ABQ,11,47.0,0.0,59.0,0.0,316.0,40.0
ABQ,12,40.0,65.0,548.0,0.0,898.0,0.0
ABQ,13,310.0,0.0,313.0,0.0,902.0,277.0
ABQ,14,791.0,0.0,27.0,0.0,408.0,205.0
ABQ,15,214.0,21.0,58.0,0.0,446.0,85.0
ABQ,16,123.0,0.0,105.0,7.0,296.0,37.0
ABQ,17,84.0,0.0,61.0,0.0,356.0,78.0
ABQ,18,217.0,0.0,72.0,0.0,621.0,47.0
ABQ,19,355.0,0.0,0.0,0.0,274.0,106.0
ABQ,20,14.0,0.0,149.0,18.0,425.0,0.0
ABQ,21,91.0,0.0,60.0,0.0,669.0,68.0
ABQ,22,129.0,11.0,11.0,0.0,513.0,120.0
ABQ,23,219.0,27.0,255.0,0.0,604.0,54.0
ABQ,24,477.0,0.0,25.0,0.0,575.0,115.0
ABQ,25,680.0,0.0,86.0,0.0,53.0,31.0
ABQ,26,320.0,14.0,499.0,0.0,836.0,194.0
ABQ,27,20.0,162.0,111.0,0.0,470.0,29.0
ABQ,28,572.0,0.0,517.0,0.0,569.0,0.0
ABQ,29,72.0,0.0,73.0,0.0,619.0,153.0
ABQ,30,84.0,121.0,81.0,0.0,644.0,392.0
ABR,1,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,2,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,3,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,4,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,5,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,6,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,7,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,8,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,9,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,10,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,11,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,12,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,13,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,14,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,15,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,16,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,17,15.0,0.0,0.0,0.0,0.0,15.0
ABR,18,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,19,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,20,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,21,0.0,0.0,0.0,0.0,19.0,9.0
ABR,22,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,23,0.0,0.0,0.0,0.0,16.0,7.0
ABR,24,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,25,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,26,0.0,0.0,0.0,0.0,31.0,13.0
ABR,27,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,28,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,29,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,30,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,1,133.0,0.0,28.0,0.0,0.0,0.0
ABY,2,0.0,0.0,2.0,0.0,53.0,0.0
ABY,3,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,4,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,5,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,6,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,7,0.0,0.0,0.0,0.0,0.0,10.0
ABY,8,0.0,0.0,0.0,0.0,0.0,16.0
ABY,9,0.0,0.0,0.0,0.0,0.0,5.0
ABY,10,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,11,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,12,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,13,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,14,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,15,0.0,0.0,0.0,0.0,0.0,2.0
ABY,16,0.0,0.0,0.0,0.0,0.0,1.0
ABY,17,53.0,0.0,0.0,0.0,29.0,10.0
ABY,18,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,19,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,20,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,21,106.0,0.0,0.0,0.0,0.0,13.0
ABY,22,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,23,0.0,0.0,0.0,0.0,26.0,5.0
ABY,24,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,25,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,26,0.0,0.0,11.0,0.0,40.0,0.0
ABY,27,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,28,0.0,0.0,0.0,0.0,133.0,17.0
ABY,29,188.0,0.0,0.0,0.0,0.0,5.0
ABY,30,0.0,0.0,0.0,0.0,129.0,15.0
ACK,1,0.0,0.0,0.0,0.0,0.0,-0.0
ACK,2,0.0,0.0,0.0,0.0,0.0,-0.0
