Origin,DayofMonth,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,UnknownDelay
ABE,1,3.0,0.0,33.0,0.0,148.0,0.0
ABE,2,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,3,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,4,0.0,0.0,0.0,0.0,64.0,22.0
ABE,5,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,6,0.0,0.0,0.0,0.0,0.0,21.0
ABE,7,0.0,0.0,0.0,0.0,0.0,7.0
ABE,8,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,9,0.0,0.0,0.0,0.0,0.0,15.0
ABE,10,0.0,0.0,0.0,0.0,0.0,4.0
ABE,11,0.0,0.0,0.0,0.0,0.0,2.0
ABE,12,0.0,0.0,0.0,0.0,0.0,4.0
ABE,13,0.0,0.0,0.0,0.0,0.0,27.0
ABE,14,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,15,0.0,0.0,22.0,0.0,0.0,0.0
ABE,16,93.0,0.0,8.0,0.0,21.0,0.0
ABE,17,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,18,36.0,0.0,0.0,0.0,0.0,13.0
ABE,19,0.0,0.0,18.0,0.0,0.0,0.0
ABE,20,0.0,0.0,0.0,0.0,0.0,11.0
ABE,21,0.0,0.0,0.0,0.0,0.0,3.0
ABE,22,0.0,0.0,0.0,0.0,16.0,27.0
ABE,23,0.0,0.0,78.0,0.0,20.0,31.0
ABE,24,113.0,0.0,0.0,0.0,0.0,10.0
ABE,25,0.0,0.0,0.0,0.0,0.0,103.0
ABE,26,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,27,0.0,0.0,144.0,0.0,84.0,63.0
ABE,28,130.0,0.0,0.0,0.0,17.0,30.0
ABE,29,1.0,0.0,1.0,0.0,23.0,16.0
ABE,30,0.0,0.0,0.0,0.0,0.0,26.0
ABE,31,0.0,0.0,74.0,0.0,7.0,23.0
ABQ,1,60.0,0.0,168.0,0.0,287.0,85.0
ABQ,2,138.0,0.0,15.0,0.0,161.0,152.0
ABQ,3,0.0,0.0,0.0,0.0,53.0,103.0
ABQ,4,0.0,0.0,0.0,0.0,196.0,79.0
ABQ,5,46.0,0.0,28.0,0.0,178.0,154.0
ABQ,6,95.0,46.0,94.0,0.0,170.0,76.0
ABQ,7,48.0,60.0,147.0,0.0,64.0,50.0
ABQ,8,12.0,0.0,85.0,0.0,103.0,43.0
ABQ,9,51.0,0.0,56.0,0.0,95.0,104.0
ABQ,10,4.0,14.0,155.0,0.0,101.0,0.0
ABQ,11,68.0,136.0,86.0,0.0,133.0,44.0
ABQ,12,131.0,0.0,33.0,0.0,202.0,147.0
ABQ,13,37.0,0.0,36.0,0.0,202.0,85.0
ABQ,14,56.0,0.0,259.0,0.0,162.0,63.0
ABQ,15,55.0,0.0,63.0,0.0,903.0,139.0
ABQ,16,50.0,0.0,68.0,0.0,198.0,172.0
ABQ,17,13.0,0.0,74.0,0.0,60.0,109.0
ABQ,18,13.0,0.0,14.0,0.0,223.0,123.0
ABQ,19,408.0,0.0,300.0,0.0,150.0,1.0
ABQ,20,31.0,0.0,1.0,0.0,125.0,161.0
ABQ,21,548.0,0.0,23.0,0.0,21.0,56.0
ABQ,22,88.0,0.0,32.0,0.0,130.0,33.0
ABQ,23,465.0,0.0,56.0,0.0,211.0,130.0
ABQ,24,19.0,0.0,80.0,0.0,231.0,166.0
ABQ,25,315.0,0.0,43.0,0.0,96.0,137.0
ABQ,26,122.0,51.0,82.0,0.0,1067.0,269.0
ABQ,27,80.0,263.0,215.0,0.0,595.0,295.0
ABQ,28,3.0,0.0,0.0,0.0,74.0,161.0
ABQ,29,504.0,0.0,32.0,14.0,237.0,108.0
ABQ,30,13.0,9.0,68.0,0.0,61.0,21.0
ABQ,31,18.0,397.0,265.0,0.0,345.0,40.0
ABR,1,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,2,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,3,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,4,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,5,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,6,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,7,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,8,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,9,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,10,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,11,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,12,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,13,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,14,0.0,0.0,0.0,0.0,0.0,-0.0
